"name","bub","yy10","ra95","ra05","rl13b","rl13a"
"ta001",1278,1297,1359,1297,1290,1293.1
"ta002",1358,1383,1378,1373,1389,1389
"ta003",1073,1203,1230,1206,1100,1112.5
"ta004",1292,1377,1393,1402,1344,1352.2
"ta005",1231,1311,1307,1334,1250,1258.7
"ta006",1193,1245,1282,1238,1217,1224.3
"ta007",1234,1303,1387,1322,1258,1259.6
"ta008",1199,1265,1344,1287,1235,1242.5
"ta009",1210,1303,1335,1307,1258,1275.3
"ta010",1103,1179,1191,1195,1127,1145.5
"ta011",1560,1681,1711,1774,1693,1729.6
"ta012",1644,1749,1916,1791,1785,1799.5
"ta013",1486,1554,1617,1643,1583,1596.5
"ta014",1368,1490,1533,1531,1452,1478.3
"ta015",1413,1455,1588,1557,1516,1526.7
"ta016",1369,1564,1565,1612,1445,1468.3
"ta017",1428,1590,1622,1594,1524,1544.5
"ta018",1527,1595,1800,1631,1650,1663.8
"ta019",1586,1689,1717,1769,1659,1681.1
"ta020",1559,1719,1831,1744,1670,1677.7
"ta021",2293,2428,2610,2491,2396,2414.9
"ta022",2092,2281,2301,2491,2225,2239.5
"ta023",2313,2515,2411,2422,2446,2464.5
"ta024",2223,2299,2471,2567,2346,2360.8
"ta025",2291,2473,2427,2420,2439,2460.5
"ta026",2221,2339,2466,2557,2331,2346.5
"ta027",2267,2378,2174,2448,2428,2454
"ta028",2183,2418,2418,2464,2321,2345.6
