"name","n","m","lb","ll09","de98","yl10","rl13b","rl13a"
"flcmax_3",20,15,3354,3873,4437,4420,4047,4113.4
"flcmax_6",20,15,3168,3761,4144,4044,3950,3977.5
"flcmax_4",20,15,2997,3518,3779,3786,3692,3730.6
"flcmax_10",20,15,3420,4051,4302,4265,4176,4221.7
"flcmax_5",20,15,3494,3913,4373,4310,4097,4124.9
"flcmax_1",20,20,3776,4525,4821,4819,4790,4826.9
"flcmax_3",20,20,3758,4435,4779,4723,4694,4715.7
"flcmax_9",20,20,3902,4527,4944,4922,4720,4775.4
"flcmax_2",20,20,3881,4499,4886,4847,4731,4781.3
"flcmax_10",20,20,3823,4361,4717,4715,4554,4607.6
"flcmax_3",30,15,4020,4568,5226,5210,4927,5032.2
"flcmax_4",30,15,4080,4649,5304,5284,5033,5092.4
"flcmax_9",30,15,4022,4568,5079,5075,4912,4968.6
"flcmax_8",30,15,4490,4836,5605,5593,5220,5320.2
"flcmax_6",30,15,4184,4761,5147,5149,5097,5158.5
"flcmax_3",30,20,4806,5376,6183,5987,5794,5846.9
"flcmax_1",30,20,4772,5698,6037,5989,6179,6221.8
"flcmax_6",30,20,5004,5752,6241,6195,6039,6133.9
"flcmax_10",30,20,4899,5464,6095,5923,5888,5967.7
"flcmax_2",30,20,4757,5369,5822,5840,5842,5886.1
"flcmax_5",40,15,5560,5958,6986,6972,6521,6594.1
"flcmax_9",40,15,5119,5692,6351,6310,6244,6303.3
"flcmax_2",40,15,5290,5877,6506,6532,6302,6395.6
"flcmax_10",40,15,5596,5896,6845,6712,6413,6445.2
"flcmax_8",40,15,5576,6054,6783,6771,6526,6611.7
"flcmax_3",40,20,5693,6508,7154,7132,7208,7274.5
"flcmax_9",40,20,5998,6676,7528,7496,7388,7484.7
"flcmax_6",40,20,5990,6798,7469,7476,7455,7553.1
"flcmax_7",40,20,6170,6766,7608,7588,7405,7473.5
"flcmax_5",40,20,6011,6508,7219,7217,7326,7399.4
"flcmax_6",50,15,6290,6836,7673,7631,7559,7606.8
"flcmax_5",50,15,6355,6672,7679,7496,7317,7368.4
"flcmax_1",50,15,6198,6580,7416,7402,7205,7303.8
"flcmax_8",50,15,6312,6799,7548,7558,7348,7468.7
"flcmax_2",50,15,6531,6954,7750,7712,7547,7644.8
"flcmax_2",50,20,6740,7682,8838,8836,8436,8684.4
"flcmax_1",50,20,6736,7313,8539,8521,8064,8189.7
"flcmax_7",50,20,6756,7622,8417,8425,8370,8526
"flcmax_8",50,20,6897,7480,8590,8536,8430,8509.2
"flcmax_4",50,20,6830,7726,8493,8502,8538,8625.1
