"n","m","neh","saop","spirit","ils","m.mmas","paco","hga_rma","pso_vns","nega_vns"
20,5,3.26,1.05,4.77,0.33,0.04,0.18,0.04,0.03,0
20,10,4.6,2.6,5.61,0.52,0.07,0.24,0.02,0.02,0.01
20,20,3.73,2.06,4.72,0.28,0.06,0.18,0.05,0.05,0.02
50,5,0.73,0.34,2.24,0.18,0.02,0.05,0,0,0
50,10,5.07,3.5,5.69,1.45,1.08,0.81,0.72,0.57,0.82
50,20,6.66,4.66,7.59,2.05,1.93,1.41,0.99,1.36,1.08
100,5,0.53,0.3,0.93,0.16,0.02,0.02,0.01,0,0
100,10,2.21,1.34,3.22,0.64,0.39,0.29,0.16,0.18,0.14
100,20,5.34,4.49,6.75,2.42,2.42,1.93,1.3,1.45,1.4
200,10,1.26,0.94,2.06,0.5,0.3,0.23,0.14,0.18,0.16
200,20,4.41,3.67,5.02,2.07,2.15,1.82,1.26,1.35,1.25
500,20,2.07,2.2,5.59,1.2,1.02,0.85,0.69,NA,0.71
