"name","initial_solution_value","initial_solution_time_ms","num_iterations","num_iterations_acceptance","best_value","steps_to_best","time_to_best_s","seed","num_jobs_destroy_repair","temperature"
"ta001",1448,2,51859,39962,1278,3885,0,2956326457,3,2.5765
"ta002",1545,0,48949,35582,1358,1449,0,4181599774,3,2.598
"ta003",1597,1,50407,20596,1073,27063,1,1043415123,3,2.3025
"ta004",1754,1,48556,22799,1293,1269,0,3526720722,3,2.818
"ta005",1431,1,46312,30921,1231,9368,0,3224940741,3,2.484
"ta006",1616,1,45082,18160,1193,5597,0,1326188748,3,2.5275
"ta007",1528,1,44541,31065,1251,23,0,4106269478,3,2.474
"ta008",1428,1,45523,21863,1199,10951,0,1870153645,3,2.6155
"ta009",1468,0,49143,20138,1210,3516,0,3717707580,3,2.621
"ta010",1404,1,46622,22155,1103,548,0,3725971446,3,2.3885
"ta011",2004,1,44744,16462,1560,21624,3,2872202346,3,2.58225
"ta012",2104,1,46342,18866,1645,5897,0,3491403513,3,2.7145
"ta013",1812,1,47150,15088,1468,31179,3,2487690697,3,2.469
"ta014",1726,1,45281,19337,1368,30150,4,2779979027,3,2.2325
"ta015",1944,1,44982,18219,1400,18592,2,2409763074,3,2.36475
"ta016",1877,1,45927,15771,1369,10352,1,1721596033,3,2.285
"ta017",1935,1,44170,17527,1432,39229,5,258798586,3,2.34425
"ta018",2044,1,46324,17100,1527,10889,1,1447378948,3,2.4755
"ta019",1978,1,38530,20638,1590,865,0,1403966940,3,2.5085
"ta020",2051,1,49047,13567,1559,1674,0,3435192397,3,2.632
"ta021",2770,1,44664,16747,2249,2031,0,1605609990,3,2.53412
"ta022",2543,1,36797,16038,2065,19480,6,1138135974,3,2.3465
"ta023",2625,1,34722,14042,2247,32623,11,2265089456,3,2.54038
"ta024",2800,1,42557,20482,2187,22133,6,533646118,3,2.46675
"ta025",2829,1,40093,12056,2247,39503,11,550299968,3,2.55837
"ta026",2597,1,38506,10328,2163,9777,2,4151277914,3,2.46263
"ta027",2723,1,36948,11354,2224,21291,6,3890517507,3,2.512
"ta028",2697,1,37553,12374,2161,22785,7,569174565,3,2.46962
"ta029",2713,1,35121,11437,2202,18933,6,3184875592,3,2.52513
"ta030",2830,1,42830,13290,2122,5321,1,2196575171,3,2.41725
"ta031",3095,1,44208,30330,2724,424,0,2826403235,3,2.4154
"ta032",3515,1,48212,27299,2834,4812,0,988563058,3,2.6098
"ta033",2900,1,43771,21788,2612,9922,1,3981332839,3,2.398
"ta034",3073,1,46765,24592,2751,114,0,2809468974,3,2.5646
"ta035",3071,1,45223,29538,2854,46,0,1968806279,3,2.5452
"ta036",3195,1,43435,21558,2825,149,0,2394274435,3,2.6008
"ta037",3450,1,42767,19123,2716,29157,5,510720349,3,2.4648
"ta038",3140,1,45425,23353,2683,284,0,512703362,3,2.4786
"ta039",2930,1,48063,23769,2545,11962,2,3932345851,3,2.3244
"ta040",3188,1,46132,29990,2776,31,0,729243153,3,2.5636
"ta041",3754,1,44680,17786,3025,3821,1,410291464,3,2.51
"ta042",3685,1,46086,14882,2888,37888,12,1737154333,3,2.4236
"ta043",3612,1,46051,17621,2855,34441,11,2309927280,3,2.4007
"ta044",3669,1,47634,17844,3061,8346,2,4125787069,3,2.5281
"ta045",3741,1,44712,15073,2990,7207,2,3560477032,3,2.5391
"ta046",3736,1,42275,13705,2991,30448,10,3828877122,3,2.509
"ta047",3678,1,44079,16983,3101,17042,5,314887960,3,2.5184
"ta048",3773,1,44376,15249,3022,19587,6,1562045633,3,2.4535
"ta049",3792,1,46378,15622,2883,15650,5,1449400119,3,2.4332
"ta050",3845,1,41960,14168,3088,19549,6,1812025805,3,2.5446
"ta051",5094,2,46064,13526,3850,40433,26,627609124,3,2.59555
"ta052",4730,2,42180,17254,3711,17460,12,818499276,3,2.46355
"ta053",4592,2,47544,15526,3641,45793,28,3291232578,3,2.42175
"ta054",4797,2,43904,13298,3734,40207,27,4131719492,3,2.465
"ta055",4748,2,45167,15972,3664,36840,24,3511715638,3,2.45705
"ta056",4946,2,47754,18149,3694,39350,24,1254885461,3,2.4515
"ta057",4742,2,43826,13822,3722,34289,23,712988949,3,2.48365
"ta058",4763,2,45692,15454,3707,30638,20,2141023026,3,2.46245
"ta059",4823,2,46949,17454,3736,15523,10,1894209708,3,2.49715
"ta060",4901,2,47314,15863,3757,15059,9,3729797046,3,2.5301
"ta061",5943,1,40962,29647,5493,251,0,122856939,3,2.5797
"ta062",5878,1,40709,22699,5257,30871,11,3213339638,3,2.5182
"ta063",5880,1,39714,19063,5175,2007,0,1320426636,3,2.4735
"ta064",5675,1,43572,23899,4993,30768,10,2875705803,3,2.4028
"ta065",6095,1,44332,26485,5247,2409,0,1721748845,3,2.5098
"ta066",5753,1,42438,29743,5135,9126,3,3797717252,3,2.451
"ta067",5935,1,40431,20812,5232,20969,7,3882238290,3,2.4749
"ta068",6068,1,39856,20365,5087,8145,2,3544676569,3,2.4339
"ta069",6193,1,41541,27317,5442,31406,11,506927638,3,2.5839
"ta070",6157,1,44581,24834,5318,19597,6,4078635317,3,2.5583
"ta071",6983,2,40796,15129,5781,8902,6,2182833428,3,2.59555
"ta072",6558,2,42538,16169,5362,27391,19,848641463,3,2.42175
"ta073",6667,2,40437,17141,5681,1813,1,1849451727,3,2.50985
"ta074",7300,2,41398,14305,5811,38603,28,2403533807,3,2.6319
"ta075",6844,2,39165,13134,5488,23372,17,335450181,3,2.48515
"ta076",6591,2,40356,15255,5304,6796,5,1729998958,3,2.37285
"ta077",6765,2,39971,21044,5609,4336,3,2422449052,3,2.4515
"ta078",6517,2,37423,13643,5624,7847,6,2433394496,3,2.49255
"ta079",6859,2,38810,16037,5890,37092,28,774203332,3,2.5698
"ta080",6930,2,38222,19119,5845,2867,2,2249064771,3,2.549
"ta081",7840,3,42842,13603,6267,39814,55,1076024558,3,2.46915
"ta082",7591,3,40571,13633,6264,26592,39,3501367668,3,2.4962
"ta083",7755,3,37163,12336,6344,17549,28,2537244910,3,2.48018
"ta084",7885,4,36288,12069,6302,20786,34,4282915756,3,2.4637
"ta085",7729,3,41416,14637,6393,26897,38,1003777612,3,2.48097
"ta086",8072,3,40034,13801,6438,14290,22,918277982,3,2.4825
"ta087",8033,3,40578,13129,6307,30931,46,279984857,3,2.50242
"ta088",8138,3,40216,12826,6514,23163,34,2011184403,3,2.54608
"ta089",7907,3,37976,12173,6342,37901,59,3725455817,3,2.4991
"ta090",8099,3,41183,14563,6483,28545,42,1731447703,3,2.5166
"ta091",12193,3,36361,22870,10885,23241,38,746112189,3,2.5101
"ta092",12796,3,37068,12638,10547,18044,28,1519427136,3,2.48125
"ta093",12556,3,36700,17665,10962,28511,46,1764324329,3,2.52895
"ta094",12198,3,35281,23218,10871,20852,35,1814537685,3,2.50428
"ta095",12110,3,39424,14506,10503,33267,50,711335701,3,2.49777
"ta096",12116,3,34301,14024,10360,5206,8,198098564,3,2.43407
"ta097",12848,3,32987,17611,10878,26742,48,1265426200,3,2.55098
"ta098",12294,3,35615,17263,10798,727,1,3443306495,3,2.52832
"ta099",12010,3,38851,15373,10419,29791,46,51118967,3,2.48188
"ta100",12274,3,36229,15426,10685,661,1,946678073,3,2.50645
"ta101",13576,6,32747,10775,11300,22682,83,1530141483,3,2.44782
"ta102",13628,6,38951,12030,11352,38496,118,2220343740,3,2.50224
"ta103",14152,5,33726,11449,11480,26990,97,1000347888,3,2.51273
"ta104",13479,6,32066,10994,11434,28728,107,920527540,3,2.50214
"ta105",13686,6,33194,11425,11324,12590,45,2537405774,3,2.47525
"ta106",13917,6,34521,11517,11370,18969,66,2184307974,3,2.50228
"ta107",13836,6,32146,10804,11492,28140,105,1299256361,3,2.51782
"ta108",13855,6,34217,11254,11478,13937,49,3254906002,3,2.49613
"ta109",13409,6,36516,12407,11374,15166,50,3065983231,3,2.49721
"ta110",14101,6,35765,12932,11490,30276,101,4113728360,3,2.49582
"ta111",30121,14,30803,10276,26265,24500,239,3053157352,3,2.48145
"ta112",31202,14,24798,8392,26777,22393,270,2098775885,3,2.524
"ta113",30447,15,29534,10710,26600,10574,108,1275368435,3,2.49531
"ta114",30355,14,28456,10613,26648,18631,196,2694371448,3,2.50377
