"name","initial_solution_value","initial_solution_time_ms","num_iterations","num_iterations_acceptance","best_value","steps_to_best","time_to_best_s","seed","num_jobs_destroy_repair","temperature"
"ta001",1448,2,65573,47034,1278,580,0,4290233724,3,2.5765
"ta002",1545,0,56277,39588,1358,362,0,3422615328,3,2.598
"ta003",1597,1,63756,24800,1073,814,0,1988697927,3,2.3025
"ta004",1754,2,66993,29797,1293,1947,0,896966157,3,2.818
"ta005",1431,1,57650,36589,1235,5887,0,3407825592,3,2.484
"ta006",1616,1,55107,20332,1193,3915,0,3036735122,3,2.5275
"ta007",1528,2,52999,34691,1251,35,0,2424602174,3,2.474
"ta008",1428,1,65689,28818,1199,341,0,1602715774,3,2.6155
"ta009",1468,0,62118,23878,1210,745,0,3683551758,3,2.621
"ta010",1404,0,66717,28523,1103,1487,0,900602908,3,2.3885
"ta011",2004,3,59161,21425,1564,236,0,320262013,3,2.58225
"ta012",2104,2,59666,20671,1648,43104,4,3239124650,3,2.7145
"ta013",1812,1,60410,17687,1481,276,0,2565668531,3,2.469
"ta014",1726,1,58014,23216,1368,39304,3,2637619460,3,2.2325
"ta015",1944,1,60645,21827,1401,45976,4,1665547368,3,2.36475
"ta016",1877,2,59242,17012,1369,22759,2,894686866,3,2.285
"ta017",1935,3,61640,23135,1436,10501,1,2790797444,3,2.34425
"ta018",2044,1,64766,22809,1527,6984,0,2997831231,3,2.4755
"ta019",1978,3,50453,20715,1592,1983,0,1456990029,3,2.5085
"ta020",2051,1,65101,20060,1559,15167,1,3674923816,3,2.632
"ta021",2770,3,51898,20382,2261,3817,0,23170514,3,2.53412
"ta022",2543,1,42373,14238,2070,12886,3,1857225052,3,2.3465
"ta023",2625,1,46997,16449,2274,11054,2,988968119,3,2.54038
"ta024",2800,1,51442,21739,2187,26248,6,1969341542,3,2.46675
"ta025",2829,1,49074,13867,2268,18281,4,4161452806,3,2.55837
"ta026",2597,1,51421,11711,2172,5100,1,1090141864,3,2.46263
"ta027",2723,1,44008,12873,2225,25836,7,1311665287,3,2.512
"ta028",2697,1,46314,15687,2160,24862,6,329595882,3,2.46962
"ta029",2713,1,43815,16163,2211,34837,9,3882564731,3,2.52513
"ta030",2830,1,45607,9542,2155,26782,7,710005915,3,2.41725
"ta031",3095,1,56866,35253,2724,2979,0,2752766992,3,2.4154
"ta032",3515,1,55733,28841,2834,6243,0,2849803994,3,2.6098
"ta033",2900,1,53018,23145,2613,4153,0,1721445060,3,2.398
"ta034",3073,1,53283,25022,2751,151,0,3391417994,3,2.5646
"ta035",3071,1,55142,33671,2854,912,0,1472332549,3,2.5452
"ta036",3195,1,55110,24932,2825,2623,0,2304202939,3,2.6008
"ta037",3450,1,54050,22532,2716,11862,1,2123777513,3,2.4648
"ta038",3140,1,56359,25079,2683,182,0,2055706792,3,2.4786
"ta039",2930,1,58893,24881,2547,24160,3,3090578891,3,2.3244
"ta040",3188,1,50469,29224,2776,166,0,3008713836,3,2.5636
"ta041",3754,1,59750,21099,3014,45916,11,3303068799,3,2.51
"ta042",3685,1,59514,18718,2890,48522,12,4256163656,3,2.4236
"ta043",3612,1,61533,20740,2855,26893,6,3784951928,3,2.4007
"ta044",3669,1,60605,20112,3061,3680,0,1268686997,3,2.5281
"ta045",3741,1,57984,15245,2998,24422,6,1690272631,3,2.5391
"ta046",3736,1,58386,18273,3005,7769,2,1050110865,3,2.509
"ta047",3678,1,59955,20619,3113,991,0,3113978517,3,2.5184
"ta048",3773,1,57772,16615,3043,1434,0,1988907700,3,2.4535
"ta049",3792,1,64528,18091,2882,23073,5,2924794582,3,2.4332
"ta050",3845,1,56127,16584,3092,20957,5,3470061949,3,2.5446
"ta051",5094,2,59152,14840,3863,11411,5,425140180,3,2.59555
"ta052",4730,2,55307,19733,3711,50839,27,2772885857,3,2.46355
"ta053",4592,2,60114,19341,3669,15186,7,1555590010,3,2.42175
"ta054",4797,2,63820,20563,3734,21628,10,1225133309,3,2.465
"ta055",4748,2,56734,21792,3643,37449,20,1070597953,3,2.45705
"ta056",4946,2,60612,22907,3725,42270,20,449214784,3,2.4515
"ta057",4742,2,56921,18844,3704,36282,19,3319749825,3,2.48365
"ta058",4763,2,58836,17509,3724,14338,7,3471654471,3,2.46245
"ta059",4823,2,60963,19419,3765,59098,29,3197083542,3,2.49715
"ta060",4901,2,66061,18415,3749,65582,29,254676173,3,2.5301
"ta061",5943,1,48972,33004,5493,663,0,3251729358,3,2.5797
"ta062",5878,1,48713,23730,5257,27253,8,1901859313,3,2.5182
"ta063",5880,1,47798,20143,5175,1332,0,3826849103,3,2.4735
"ta064",5675,1,51454,24327,4998,6118,1,163827427,3,2.4028
"ta065",6095,1,48719,24998,5247,5121,1,3578593002,3,2.5098
"ta066",5753,1,45815,29894,5135,11662,4,110387373,3,2.451
"ta067",5935,1,48973,21788,5232,5531,1,3659407586,3,2.4749
"ta068",6068,1,47236,20564,5083,32112,10,283167736,3,2.4339
"ta069",6193,1,50048,30582,5442,33817,10,1060393770,3,2.5839
"ta070",6157,1,47918,23914,5318,22486,7,2459008008,3,2.5583
"ta071",6983,2,53435,16337,5783,36052,20,2666049760,3,2.59555
"ta072",6558,2,54329,15299,5378,36030,20,2614574275,3,2.42175
"ta073",6667,2,47638,17829,5681,655,0,2936227967,3,2.50985
"ta074",7300,2,48753,13782,5836,48674,29,2256581863,3,2.6319
"ta075",6844,2,55165,14791,5499,45161,24,865589634,3,2.48515
"ta076",6591,2,51984,15332,5317,1280,0,1028834421,3,2.37285
"ta077",6765,2,55240,21681,5626,20982,11,1220567833,3,2.4515
"ta078",6517,2,48229,13222,5626,28741,17,1821863336,3,2.49255
"ta079",6859,2,43309,14822,5902,19608,13,724781256,3,2.5698
"ta080",6930,2,46099,18955,5845,28618,18,4185919865,3,2.549
"ta081",7840,3,58238,14718,6300,56907,58,1007001080,3,2.46915
"ta082",7591,3,60217,17765,6260,43251,43,1023015920,3,2.4962
"ta083",7755,3,55857,16475,6334,22034,24,333807072,3,2.48018
"ta084",7885,3,50345,14817,6338,15129,18,4227770766,3,2.4637
"ta085",7729,3,54369,17083,6430,18219,19,429782440,3,2.48097
"ta086",8072,3,53640,15693,6449,18105,20,3845745179,3,2.4825
"ta087",8033,4,59137,19516,6352,54149,55,48567850,3,2.50242
"ta088",8138,3,64989,19160,6499,35501,32,3905463923,3,2.54608
"ta089",7907,3,59297,16851,6355,43457,44,229241476,3,2.4991
"ta090",8099,3,58074,16624,6490,48676,50,4102397296,3,2.5166
"ta091",12193,3,44411,20867,10885,9200,13,975105049,3,2.5101
"ta092",12796,3,44581,11106,10525,11778,16,3576961940,3,2.48125
"ta093",12556,3,45955,14674,10926,5132,6,3080502777,3,2.52895
"ta094",12198,3,39619,21980,10871,9041,14,1069094347,3,2.50428
"ta095",12110,3,50139,13486,10517,15250,18,1753212834,3,2.49777
"ta096",12116,3,50295,15516,10342,45330,54,868476727,3,2.43407
"ta097",12848,3,39773,15814,10871,4342,6,1462904758,3,2.55098
"ta098",12294,3,45158,14055,10754,38088,50,3817073039,3,2.52832
"ta099",12010,3,45536,13695,10465,2366,3,3185524838,3,2.48188
"ta100",12274,3,40313,12710,10685,19400,28,2649955127,3,2.50645
"ta101",13576,6,51989,12746,11364,48639,112,3980420880,3,2.44782
"ta102",13628,6,60577,15995,11403,27107,54,3291479529,3,2.50224
"ta103",14152,6,54756,14789,11477,52007,114,2436537476,3,2.51273
"ta104",13479,6,45133,11211,11478,14077,36,1330957268,3,2.50214
"ta105",13686,6,53042,13861,11365,47906,108,2780275953,3,2.47525
"ta106",13917,6,57778,14594,11321,27900,59,3044273849,3,2.50228
"ta107",13836,6,52072,13709,11492,43655,101,592072100,3,2.51782
"ta108",13855,6,50388,12169,11490,36158,85,3431088199,3,2.49613
"ta109",13409,6,55396,14124,11381,39099,85,2504852526,3,2.49721
"ta110",14101,6,61477,17118,11496,53059,103,2078464431,3,2.49582
"ta111",30121,14,42512,9828,26295,37420,265,1815384520,3,2.48145
"ta112",31202,15,37096,8135,26825,36535,295,1417039902,3,2.524
"ta113",30447,14,35360,8081,26590,33105,281,902189845,3,2.49531
"ta114",30355,15,37215,8966,26675,32233,256,2521465997,3,2.50377
"ta115",30099,14,37036,8196,26472,35857,290,2367984099,3,2.49069
"ta116",30946,14,39006,8817,26630,37933,291,3918487304,3,2.51715
"ta117",30792,14,35669,8439,26524,29496,248,4007090760,3,2.48488
"ta118",31034,12,33603,7605,26801,30363,270,903490054,3,2.51214
"ta119",30634,15,34649,7417,26223,30302,262,2034423228,3,2.4806
"ta120",30148,15,42170,9792,26678,38192,270,1211136533,3,2.49758
"ta001",1448,1,52325,37211,1278,7855,0,1337791705,3,2.5765
"ta002",1545,0,55597,39353,1358,1640,0,3098225271,3,2.598
"ta003",1597,2,64315,24561,1080,473,0,3475746177,3,2.3025
"ta004",1754,1,64478,28187,1293,615,0,809609549,3,2.818
"ta005",1431,1,55836,35677,1237,32723,1,2422534688,3,2.484
"ta006",1616,1,54683,21295,1193,47813,2,2349188005,3,2.5275
"ta007",1528,1,53691,30555,1239,22549,1,2412399540,3,2.474
"ta008",1428,2,59028,26710,1199,9272,0,1852711920,3,2.6155
"ta009",1468,1,61404,23551,1210,2476,0,1880551168,3,2.621
"ta010",1404,1,64846,29014,1103,570,0,3440093395,3,2.3885
"ta011",2004,1,59176,26116,1564,1071,0,1576692096,3,2.58225
"ta012",2104,1,60231,20276,1651,38818,3,3063294551,3,2.7145
"ta013",1812,1,62833,18909,1475,34886,3,4032796420,3,2.469
"ta014",1726,1,55762,21581,1375,15262,1,3281419088,3,2.2325
"ta015",1944,1,59791,22495,1400,42969,4,62089027,3,2.36475
"ta016",1877,1,58418,16669,1369,24741,2,573427035,3,2.285
"ta017",1935,1,56163,22004,1449,5309,0,2935076385,3,2.34425
"ta018",2044,1,60819,19718,1527,3182,0,3250526313,3,2.4755
"ta019",1978,1,47731,24818,1590,737,0,1021686302,3,2.5085
"ta020",2051,1,64958,20868,1566,4201,0,2179144322,3,2.632
"ta021",2770,1,52007,22789,2238,43329,10,4212657369,3,2.53412
"ta022",2543,1,43407,14589,2075,18336,5,3333280152,3,2.3465
"ta023",2625,1,45162,15154,2247,26409,7,3004528715,3,2.54038
"ta024",2800,1,51346,21437,2193,6216,1,4069226739,3,2.46675
"ta025",2829,1,51286,13775,2255,27782,6,2741451693,3,2.55837
"ta026",2597,1,50265,14753,2172,9838,2,2404618272,3,2.46263
"ta027",2723,1,41620,12269,2235,20060,5,3076915268,3,2.512
"ta028",2697,1,45335,15174,2173,2413,0,4255802290,3,2.46962
"ta029",2713,1,41383,17382,2214,11120,3,280481656,3,2.52513
"ta030",2830,1,49231,12248,2148,41587,10,3893321971,3,2.41725
"ta031",3095,1,58046,35726,2724,4143,0,1529598079,3,2.4154
"ta032",3515,1,55370,28737,2834,41731,6,2465072947,3,2.6098
"ta033",2900,1,55099,23916,2612,45063,6,3357947142,3,2.398
"ta034",3073,1,53132,24591,2751,164,0,1619439240,3,2.5646
"ta035",3071,1,54624,33517,2853,7730,1,2727755102,3,2.5452
"ta036",3195,1,60251,27203,2825,3017,0,335041472,3,2.6008
"ta037",3450,1,52883,22190,2716,39829,6,91017204,3,2.4648
"ta038",3140,1,56071,24985,2683,2439,0,74230643,3,2.4786
"ta039",2930,1,56118,23568,2545,2294,0,102543937,3,2.3244
"ta040",3188,1,50960,29680,2776,614,0,2517619297,3,2.5636
"ta041",3754,1,58072,18696,3029,36516,9,2146776844,3,2.51
"ta042",3685,1,59638,17364,2877,42779,10,2311196870,3,2.4236
"ta043",3612,1,58346,19131,2855,13084,3,1969440943,3,2.4007
"ta044",3669,1,59700,19356,3063,33272,8,964922826,3,2.5281
"ta045",3741,1,61247,16749,3004,45451,11,1207114345,3,2.5391
"ta046",3736,1,59197,20144,3006,10734,2,3228701223,3,2.509
"ta047",3678,1,57984,20799,3116,17188,4,386796724,3,2.5184
"ta048",3773,1,58068,18327,3043,6047,1,1019841805,3,2.4535
"ta049",3792,1,61624,17561,2913,17611,4,681852632,3,2.4332
"ta050",3845,1,57681,18159,3089,55350,14,795493368,3,2.5446
"ta051",5094,2,59031,15472,3862,42563,21,1293217521,3,2.59555
"ta052",4730,2,51139,16730,3706,39388,23,3716685925,3,2.46355
"ta053",4592,2,59851,18932,3668,56130,28,1445315225,3,2.42175
"ta054",4797,2,60207,20405,3731,56393,28,2803854777,3,2.465
"ta055",4748,2,53618,15281,3630,44721,25,3711829546,3,2.45705
"ta056",4946,2,64116,23629,3684,33765,15,2610830011,3,2.4515
"ta057",4742,2,53296,16400,3731,27072,15,257623875,3,2.48365
"ta058",4763,2,60787,19374,3717,54452,27,3114994744,3,2.46245
"ta059",4823,2,56370,19117,3745,40017,21,2447684290,3,2.49715
"ta060",4901,2,65501,17700,3751,40713,18,1638520515,3,2.5301
"ta061",5943,1,50494,33452,5493,672,0,309856009,3,2.5797
"ta062",5878,1,51394,24995,5257,23699,7,3106345834,3,2.5182
"ta063",5880,1,47920,19902,5175,2224,0,746149941,3,2.4735
"ta064",5675,1,49160,23183,4997,46368,14,2384998207,3,2.4028
"ta065",6095,1,47463,24027,5247,1547,0,3755549053,3,2.5098
"ta066",5753,1,46715,30183,5135,1771,0,1735453714,3,2.451
"ta067",5935,1,47096,20462,5232,15395,5,1898977891,3,2.4749
"ta068",6068,1,46160,18958,5083,3123,1,2030814069,3,2.4339
"ta069",6193,1,45658,27410,5442,30813,10,769294708,3,2.5839
"ta070",6157,1,51799,24371,5318,14455,4,3670657916,3,2.5583
"ta071",6983,2,49445,14453,5777,25409,15,467582633,3,2.59555
"ta072",6558,2,52888,13676,5352,15768,8,1795251945,3,2.42175
"ta073",6667,2,51439,18756,5681,9450,5,1957648306,3,2.50985
"ta074",7300,2,48638,13085,5834,39111,24,2135498784,3,2.6319
"ta075",6844,2,50647,13992,5494,20954,12,3301375514,3,2.48515
