"name","initial_solution_value","initial_solution_time_ms","num_iterations","num_iterations_acceptance","best_value","steps_to_best","time_to_best_s","seed","num_jobs_destroy_repair","temperature"
"ta001",1290,3,65349,47061,1278,1302,0,2356594917,3,2.5765
"ta002",1366,1,57648,40578,1358,1827,0,375441609,3,2.598
"ta003",1098,1,63604,24278,1080,17,0,1973811481,3,2.3025
"ta004",1311,1,61140,26780,1293,1355,0,2851137789,3,2.818
"ta005",1261,1,58888,37649,1235,46562,2,3050380478,3,2.484
"ta006",1228,1,62047,23674,1193,10429,0,1723766334,3,2.5275
"ta007",1273,1,51464,27819,1239,57,0,1731787853,3,2.474
"ta008",1211,1,58156,26126,1199,2082,0,1647310453,3,2.6155
"ta009",1273,1,62637,23867,1210,311,0,3786143171,3,2.621
"ta010",1151,3,57894,24925,1103,459,0,3440908757,3,2.3885
"ta011",1622,2,59898,24220,1564,12042,1,167813553,3,2.58225
"ta012",1721,2,59836,19073,1651,31858,3,1026861961,3,2.7145
"ta013",1558,2,59332,18998,1476,12005,1,1128181157,3,2.469
"ta014",1386,2,58480,20169,1368,6067,0,587522121,3,2.2325
"ta015",1497,2,61252,21125,1395,57114,5,3358937818,3,2.36475
"ta016",1444,5,60449,16310,1369,13018,1,2721300178,3,2.285
"ta017",1506,2,57534,21609,1436,1692,0,3662339312,3,2.34425
"ta018",1593,2,62544,19156,1527,26129,2,970493969,3,2.4755
"ta019",1621,2,49558,21202,1590,49411,5,1397424180,3,2.5085
"ta020",1648,2,63142,22610,1566,3858,0,1435608947,3,2.632
"ta021",2352,5,50316,14335,2254,19438,4,1808402776,3,2.53412
"ta022",2155,5,40998,12992,2076,4945,1,1791595530,3,2.3465
"ta023",2386,5,45685,16027,2247,25244,6,2731412848,3,2.54038
"ta024",2259,5,52451,21167,2187,38049,8,4030967338,3,2.46675
"ta025",2360,5,51983,14663,2259,8237,1,2089338501,3,2.55837
"ta026",2278,5,48052,12184,2175,9945,2,516504388,3,2.46263
"ta027",2391,5,44946,12894,2225,5144,1,405227947,3,2.512
"ta028",2286,5,46920,14596,2163,32375,7,2619046488,3,2.46962
"ta029",2353,5,47567,20978,2196,24886,6,3925648176,3,2.52513
"ta030",2248,5,51168,14723,2138,29826,6,4255016096,3,2.41725
"ta031",2729,4,55041,34178,2724,150,0,1145158730,3,2.4154
"ta032",2848,4,55487,28589,2834,18178,2,2756395061,3,2.6098
"ta033",2628,4,57436,25149,2612,1368,0,1571701496,3,2.398
"ta034",2767,4,54605,25344,2751,74,0,3935924561,3,2.5646
"ta035",2854,4,55044,33600,2854,0,0,2396358755,3,2.5452
"ta036",2827,4,55327,24890,2825,747,0,1603774600,3,2.6008
"ta037",2747,4,62801,26671,2716,35965,4,3418959874,3,2.4648
