"name","construction_value","construction_time_ms"
"ta001",1297,1
"ta002",1366,1
"ta003",1114,1
"ta004",1314,1
"ta005",1278,1
"ta006",1228,1
"ta007",1273,1
"ta008",1222,1
"ta009",1273,1
"ta010",1151,1
"ta011",1622,1
"ta012",1732,1
"ta013",1563,1
"ta014",1429,1
"ta015",1504,1
"ta016",1445,1
"ta017",1539,1
"ta018",1601,1
"ta019",1648,1
"ta020",1684,1
"ta021",2394,2
"ta022",2181,2
"ta023",2386,2
"ta024",2262,2
"ta025",2353,2
"ta026",2283,2
"ta027",2386,2
"ta028",2283,2
"ta029",2360,2
"ta030",2260,1
"ta031",2729,1
"ta032",2848,1
"ta033",2628,1
"ta034",2773,1
"ta035",2864,1
"ta036",2836,1
"ta037",2747,1
"ta038",2684,1
"ta039",2590,1
"ta040",2782,1
"ta041",3126,2
"ta042",3062,2
"ta043",3025,2
"ta044",3187,2
"ta045",3146,2
"ta046",3169,2
"ta047",3289,2
"ta048",3184,2
"ta049",3032,2
"ta050",3215,2
"ta051",4051,3
"ta052",3975,3
"ta053",3855,3
"ta054",3927,3
"ta055",3860,3
"ta056",3979,3
"ta057",3934,3
"ta058",3926,3
"ta059",3941,3
"ta060",3961,3
"ta061",5504,2
"ta062",5291,2
"ta063",5195,2
"ta064",5029,2
"ta065",5255,2
"ta066",5139,2
"ta067",5247,2
"ta068",5115,2
"ta069",5454,2
"ta070",5346,2
"ta071",5899,3
"ta072",5493,3
"ta073",5780,3
"ta074",5965,3
"ta075",5643,3
"ta076",5414,3
"ta077",5688,3
"ta078",5719,3
"ta079",5986,3
"ta080",5903,3
"ta081",6574,10
"ta082",6534,6
"ta083",6582,6
"ta084",6606,6
"ta085",6601,6
"ta086",6734,6
"ta087",6602,6
"ta088",6771,6
"ta089",6660,6
"ta090",6662,6
"ta091",10942,10
"ta092",10700,9
"ta093",11045,9
"ta094",10931,9
"ta095",10627,9
"ta096",10534,10
"ta097",10959,9
"ta098",10845,9
"ta099",10502,10
"ta100",10821,9
"ta101",11663,18
"ta102",11760,18
"ta103",11724,18
"ta104",11685,18
"ta105",11672,18
"ta106",11688,18
"ta107",11712,18
"ta108",11852,18
"ta109",11753,18
"ta110",11806,18
"ta111",26635,91
"ta112",27172,91
"ta113",26922,91
"ta114",26919,91
"ta115",26771,91
"ta116",27077,91
"ta117",26728,91
"ta118",27036,91
"ta119",26511,91
"ta120",26867,91
