"name","construction_value","construction_time_ms"
"ta001",1290,3
"ta002",1366,3
"ta003",1098,3
"ta004",1311,3
"ta005",1261,3
"ta006",1228,3
"ta007",1273,2
"ta008",1211,3
"ta009",1273,3
"ta010",1151,3
"ta011",1622,5
"ta012",1721,5
"ta013",1558,5
"ta014",1386,5
"ta015",1497,5
"ta016",1444,5
"ta017",1506,5
"ta018",1593,3
"ta019",1621,5
"ta020",1648,5
"ta021",2352,10
"ta022",2155,9
"ta023",2386,8
"ta024",2259,7
"ta025",2360,7
"ta026",2278,7
"ta027",2391,7
"ta028",2286,7
"ta029",2353,7
"ta030",2248,8
"ta031",2729,7
"ta032",2848,7
"ta033",2628,7
"ta034",2767,7
"ta035",2854,7
"ta036",2827,8
"ta037",2747,7
"ta038",2691,8
"ta039",2571,9
"ta040",2776,9
"ta041",3109,14
"ta042",3012,18
"ta043",2961,10
"ta044",3169,18
"ta045",3155,12
"ta046",3166,18
"ta047",3222,11
"ta048",3147,16
"ta049",3043,18
"ta050",3204,12
"ta051",4068,40
"ta052",3928,35
"ta053",3859,41
"ta054",3902,41
"ta055",3794,41
"ta056",3866,35
"ta057",3891,39
"ta058",3902,35
"ta059",3909,41
"ta060",4000,33
"ta061",5504,25
"ta062",5291,20
"ta063",5193,20
"ta064",5025,21
"ta065",5255,20
"ta066",5139,22
"ta067",5245,19
"ta068",5101,20
"ta069",5454,20
"ta070",5346,20
"ta071",5861,58
"ta072",5441,63
"ta073",5758,63
"ta074",5947,58
"ta075",5575,64
"ta076",5340,59
"ta077",5692,65
"ta078",5694,65
"ta079",5965,68
"ta080",5865,68
"ta081",6547,221
"ta082",6531,222
"ta083",6573,208
"ta084",6534,216
"ta085",6629,218
"ta086",6702,214
"ta087",6570,214
"ta088",6749,225
"ta089",6614,222
"ta090",6652,217
"ta091",10940,420
"ta092",10723,413
"ta093",11022,427
"ta094",10920,430
"ta095",10639,409
"ta096",10417,409
"ta097",10922,423
"ta098",10839,423
"ta099",10508,396
"ta100",10846,422
"ta101",11637,1504
"ta102",11660,1527
"ta103",11724,1536
"ta104",11752,1503
"ta105",11601,1580
"ta106",11611,1501
"ta107",11740,1565
"ta108",11831,1522
"ta109",11619,1528
"ta110",11805,1564
"ta111",26632,24487
"ta112",27263,23955
"ta113",26859,23159
"ta114",26992,24642
"ta115",26741,24379
"ta116",27056,24009
"ta117",26731,24010
"ta118",26968,24706
"ta119",26555,24219
"ta120",26818,24786
