"name","initial_solution_value","initial_solution_time_ms","num_iterations","num_iterations_acceptance","best_value","steps_to_best","time_to_best_s","seed","num_jobs_destroy_repair","temperature"
"flcmax_20_15_3",4049,30,8716,2949,3863,2072,0,1564648318,3,5.20783
"flcmax_20_15_6",3876,20,23873,7018,3710,14183,2,1208785390,3,4.96517
"flcmax_20_15_4",3579,34,23550,8031,3433,9623,1,1490477445,3,4.55917
"flcmax_20_15_10",4136,9,22541,6672,3980,11376,1,535390317,3,5.303
"flcmax_20_15_5",4068,5,23552,8650,3879,21470,3,2010589161,3,5.2505
"flcmax_20_20_1",4627,5,25557,8147,4477,13783,3,1546745623,3,4.962
"flcmax_20_20_3",4617,12,26415,7758,4318,21953,5,3959277404,3,5.0215
"flcmax_20_20_9",4566,5,24253,6278,4394,22854,6,708258064,3,4.95637
"flcmax_20_20_2",4644,5,23192,7924,4391,20002,6,1709207908,3,5.08413
"flcmax_20_20_10",4457,10,24948,7392,4252,10374,2,324813576,3,5.02388
"flcmax_30_15_3",4761,8,30600,10244,4489,2729,0,2019936675,3,4.71211
"flcmax_30_15_4",4853,7,31556,10359,4584,31476,9,688074026,3,4.95722
"flcmax_30_15_9",4841,8,33028,11085,4495,32035,9,4268293210,3,4.863
"flcmax_30_15_8",5049,17,30794,9279,4796,5177,1,1088910747,3,4.98756
"flcmax_30_15_6",4997,7,30196,11238,4719,16053,5,2762275493,3,4.99711
"flcmax_30_20_3",5578,19,38971,11085,5231,35248,14,1539884583,3,4.82525
"flcmax_30_20_1",5947,42,36896,11287,5528,15788,6,282473500,3,5.05675
"flcmax_30_20_6",5798,12,39216,11879,5589,5100,2,1493384148,3,5.06392
"flcmax_30_20_10",5741,12,38701,11873,5377,38072,15,2255850968,3,4.96533
"flcmax_30_20_2",5455,22,43264,14214,5262,38397,14,425380469,3,4.9245
"flcmax_40_15_5",6216,15,45148,16084,5887,32945,12,4167835360,3,5.13008
"flcmax_40_15_9",5928,25,43544,14419,5610,11791,4,131243663,3,5.01433
"flcmax_40_15_2",6142,13,44155,13787,5813,12788,4,2105849316,3,5.05292
"flcmax_40_15_10",6037,14,47137,16069,5827,13845,5,2735144186,3,5.02675
"flcmax_40_15_8",6306,14,46132,16541,5986,12127,4,2241661020,3,5.18267
"flcmax_40_20_3",6906,24,50982,16021,6397,43588,24,555497228,3,4.97725
"flcmax_40_20_9",6904,22,52295,18587,6519,51391,28,3484135935,3,5.06969
