"name","initial_solution_value","initial_solution_time_ms","num_iterations","num_iterations_acceptance","best_value","steps_to_best","time_to_best_s","seed","num_jobs_destroy_repair","temperature"
"ta001",1290,23,50793,39345,1278,8176,0,2283688988,3,2.5765
"ta002",1366,21,45744,33502,1358,1694,0,3888830299,3,2.598
"ta003",1098,1,45462,18924,1073,14432,0,895613786,3,2.3025
"ta004",1311,1,42409,19673,1293,1807,0,58822471,3,2.818
"ta005",1261,1,41629,27500,1235,22513,1,2719921214,3,2.484
"ta006",1228,1,40757,17160,1193,26163,1,71706718,3,2.5275
"ta007",1273,1,39862,22709,1236,31489,2,1403052106,3,2.474
"ta008",1211,13,42365,20807,1199,553,0,2605360915,3,2.6155
"ta009",1273,18,41812,17336,1210,178,0,3715309279,3,2.621
"ta010",1151,1,43323,20321,1103,682,0,1714989276,3,2.3885
"ta011",1622,2,41784,15711,1560,24811,3,255096975,3,2.58225
"ta012",1721,2,42454,16956,1645,593,0,2259500442,3,2.7145
"ta013",1558,2,41500,12611,1470,13316,1,1135856844,3,2.469
"ta014",1386,2,41835,17207,1368,7006,1,3394807451,3,2.2325
"ta015",1497,2,42809,17752,1400,12499,1,1274237109,3,2.36475
"ta016",1444,2,44097,14808,1369,9248,1,4151315301,3,2.285
"ta017",1506,2,41520,16406,1431,15521,2,3314326481,3,2.34425
"ta018",1593,20,44618,16239,1527,3823,0,2281153543,3,2.4755
"ta019",1621,2,36910,17510,1586,30432,4,4179673230,3,2.5085
"ta020",1648,2,45134,13232,1559,10669,1,2641764232,3,2.632
"ta021",2352,5,37597,11133,2247,6200,1,140297416,3,2.53412
"ta022",2155,5,35736,13960,2063,18128,6,598285693,3,2.3465
"ta023",2386,5,36621,15530,2252,17156,5,4128298602,3,2.54038
"ta024",2259,5,41818,17352,2184,3219,0,2057655999,3,2.46675
"ta025",2360,5,38812,10558,2246,26235,8,2230969112,3,2.55837
"ta026",2278,5,38589,11300,2167,30281,9,3326635488,3,2.46263
"ta027",2391,5,34500,9953,2230,28315,9,1427246538,3,2.512
"ta028",2286,5,35256,9096,2169,34412,11,2202308644,3,2.46962
"ta029",2353,5,34201,15347,2205,30958,10,1720582466,3,2.52513
"ta030",2248,5,36144,10645,2140,8400,2,100638266,3,2.41725
"ta031",2729,4,41574,29019,2724,479,0,3930366244,3,2.4154
"ta032",2848,90,48669,27591,2834,38369,6,4057728157,3,2.6098
"ta033",2628,4,48291,23858,2612,9376,1,2927955738,3,2.398
"ta034",2767,24,47813,24931,2751,8,0,3401579324,3,2.5646
"ta035",2854,4,43924,28669,2854,0,0,2849728204,3,2.5452
"ta036",2827,23,42408,21513,2825,261,0,552500317,3,2.6008
"ta037",2747,5,42799,19599,2716,5154,0,3061159695,3,2.4648
"ta038",2691,19,43305,22147,2683,1,0,3234804357,3,2.4786
"ta039",2571,4,43382,20910,2545,6102,1,3744863791,3,2.3244
"ta040",2776,16,41079,26592,2776,0,0,2862742384,3,2.5636
"ta041",3109,12,41208,14253,3010,9560,3,3066665782,3,2.51
"ta042",3012,12,43115,14092,2874,3398,1,2248308032,3,2.4236
"ta043",2961,12,42190,15914,2850,37860,13,3513669201,3,2.4007
"ta044",3169,12,43310,16927,3064,8179,2,1095825576,3,2.5281
"ta045",3155,50,43752,14635,2990,24227,8,1780240266,3,2.5391
"ta046",3166,62,44691,14676,3006,38330,12,3225266247,3,2.509
"ta047",3222,47,40862,17492,3127,16789,6,3855397028,3,2.5184
"ta048",3147,42,41066,14313,3037,36072,13,894315516,3,2.4535
"ta049",3043,12,43846,14087,2890,41670,14,483036885,3,2.4332
"ta050",3204,46,43143,15330,3078,26114,9,3599923442,3,2.5446
"ta051",4068,71,43536,12772,3849,39205,26,4099975796,3,2.59555
"ta052",3928,38,40613,16486,3707,16331,12,1905050954,3,2.46355
"ta053",3859,39,46381,14939,3656,46240,29,3804319978,3,2.42175
"ta054",3902,39,48021,17765,3733,46614,29,1186552407,3,2.465
"ta055",3794,40,45650,17032,3609,23823,15,3895871287,3,2.45705
"ta056",3866,38,47714,17829,3694,35832,22,1561839723,3,2.4515
"ta057",3891,52,44869,17045,3700,18631,12,3293299491,3,2.48365
"ta058",3902,39,44407,13958,3690,29349,19,4129964690,3,2.46245
"ta059",3909,43,41648,13757,3741,19569,13,752195928,3,2.49715
"ta060",4000,40,44909,14372,3743,39362,26,1141714574,3,2.5301
"ta061",5504,23,37226,27128,5493,134,0,2404667739,3,2.5797
"ta062",5291,22,37424,20398,5259,23664,9,2373933897,3,2.5182
"ta063",5193,23,41015,19788,5175,216,0,3282692263,3,2.4735
"ta064",5025,21,44196,24030,4998,764,0,3992034558,3,2.4028
"ta065",5255,22,43671,25742,5247,2547,0,3587517858,3,2.5098
"ta066",5139,20,44145,30548,5135,7207,2,4013001375,3,2.451
"ta067",5245,19,38944,19023,5232,11925,4,447779896,3,2.4749
"ta068",5101,23,35918,17008,5083,372,0,1086513536,3,2.4339
"ta069",5454,23,42436,27798,5442,3432,1,3965585618,3,2.5839
"ta070",5346,22,45442,25581,5318,3223,1,2392175590,3,2.5583
"ta071",5861,64,41426,14967,5777,28000,20,3878250428,3,2.59555
"ta072",5441,63,37952,13542,5357,18561,14,1244388104,3,2.42175
"ta073",5758,72,39119,16206,5677,35985,27,2391504843,3,2.50985
"ta074",5947,66,39932,13500,5792,6537,4,257418377,3,2.6319
"ta075",5575,71,39121,13657,5494,19666,15,344576046,3,2.48515
"ta076",5340,73,38540,14525,5304,13599,11,132333360,3,2.37285
"ta077",5692,66,43029,21709,5595,29642,20,590025973,3,2.4515
"ta078",5694,65,39176,13509,5628,19454,14,3445266109,3,2.49255
"ta079",5965,70,39123,16347,5891,10337,8,61092222,3,2.5698
"ta080",5865,68,34684,17070,5845,4253,3,3457294268,3,2.549
"ta081",6547,269,37118,10984,6259,33075,53,2225483295,3,2.46915
"ta082",6531,268,34833,11240,6248,30907,53,3505423567,3,2.4962
"ta083",6573,260,34248,12437,6349,34242,59,1108183400,3,2.48018
"ta084",6534,273,34775,11700,6314,22603,39,47814683,3,2.4637
"ta085",6629,265,37472,13146,6379,35034,56,1056110773,3,2.48097
"ta086",6702,265,39636,13278,6437,24518,36,3952346447,3,2.4825
"ta087",6570,258,40209,13493,6326,15965,23,1178290950,3,2.50242
"ta088",6749,273,40150,12836,6492,39615,59,1945192445,3,2.54608
"ta089",6614,245,42972,12325,6350,17091,24,2924255985,3,2.4991
"ta090",6652,239,38453,13030,6479,1652,2,2013553355,3,2.5166
"ta091",10940,531,33085,19358,10885,15814,29,1395496062,3,2.5101
"ta092",10723,461,35446,11312,10512,25694,42,1745876926,3,2.48125
"ta093",11022,534,32058,15413,10963,6380,12,823025108,3,2.52895
"ta094",10920,537,31196,21079,10871,14290,27,3443871316,3,2.50428
"ta095",10639,515,33364,11923,10505,33334,59,2723766706,3,2.49777
"ta096",10417,516,33739,13697,10346,30783,54,1294124762,3,2.43407
"ta097",10922,527,33026,16524,10857,2523,5,199622642,3,2.55098
"ta098",10839,504,31246,15028,10798,57,0,1150772958,3,2.52832
"ta099",10508,501,34101,12966,10419,4434,8,564021269,3,2.48188
"ta100",10846,526,31499,13207,10685,23245,44,4139307823,3,2.50645
"ta101",11637,1917,31885,10346,11349,12498,49,3956859139,3,2.44782
"ta102",11660,1728,38625,11977,11361,38432,119,1623758440,3,2.50224
"ta103",11724,1939,31795,10592,11436,27918,106,4252345970,3,2.51273
"ta104",11752,1904,31522,10801,11382,12201,48,534889143,3,2.50214
"ta105",11601,1992,31149,10539,11378,26394,102,4172934165,3,2.47525
"ta106",11611,1893,32025,10520,11334,24690,93,3542813728,3,2.50228
"ta107",11740,1960,32719,11494,11484,22773,83,3564876534,3,2.51782
"ta108",11831,1941,31408,9851,11477,16470,63,2266092111,3,2.49613
"ta109",11619,1909,32039,10611,11359,15529,58,1599325495,3,2.49721
"ta110",11805,1969,39472,14192,11354,28268,87,827664249,3,2.49582
"ta111",26632,30081,25675,7902,26268,25128,294,1658980541,3,2.48145
"ta112",27263,29745,22219,7058,26789,21929,296,2286361641,3,2.524
"ta113",26859,27316,24292,8410,26562,22860,285,3944012803,3,2.49531
"ta114",26992,28990,22807,8480,26659,13086,176,2645787446,3,2.50377
"ta115",26741,30880,22812,7808,26443,20386,274,3604684668,3,2.49069
"ta116",27056,29692,21367,6896,26594,18310,260,1989877758,3,2.51715
"ta117",26731,30026,21066,8157,26542,16331,240,3541806262,3,2.48488
"ta118",26968,31421,23486,7819,26724,13831,198,1765716749,3,2.51214
"ta119",26555,30663,22673,7277,26152,21992,293,438039956,3,2.4806
"ta120",26818,27934,23871,8557,26609,5455,84,3618073956,3,2.49758
"ta001",1290,1,44050,33411,1278,6813,0,1031113658,3,2.5765
"ta002",1366,1,44480,32050,1358,456,0,294910427,3,2.598
"ta003",1098,1,44772,18831,1073,12204,0,1225500969,3,2.3025
"ta004",1311,1,44928,20795,1293,341,0,4195310796,3,2.818
"ta005",1261,1,48145,31666,1235,10176,0,3053931698,3,2.484
"ta006",1228,1,45830,18525,1193,8798,0,3747997628,3,2.5275
"ta007",1273,1,43695,27308,1239,263,0,1148546948,3,2.474
"ta008",1211,1,43857,21519,1199,1878,0,606170749,3,2.6155
"ta009",1273,1,45560,18728,1210,71,0,3169069376,3,2.621
"ta010",1151,1,43902,21212,1103,166,0,419636795,3,2.3885
"ta011",1622,2,46468,18496,1564,13767,1,276586673,3,2.58225
"ta012",1721,2,46622,16933,1649,33677,4,3829697610,3,2.7145
"ta013",1558,2,46121,15319,1470,41226,5,2371060244,3,2.469
"ta014",1386,2,43774,18656,1366,6850,0,2305459644,3,2.2325
"ta015",1497,2,45257,15905,1395,28290,3,1645887013,3,2.36475
"ta016",1444,2,46812,14990,1369,23345,3,3044967349,3,2.285
"ta017",1506,2,42760,17414,1432,22600,3,774832586,3,2.34425
"ta018",1593,2,47503,16436,1527,9731,1,864295901,3,2.4755
"ta019",1621,2,40637,18653,1592,2804,0,2423474905,3,2.5085
"ta020",1648,2,44357,15364,1559,34621,4,30540977,3,2.632
"ta021",2352,5,38499,10187,2247,15912,4,2254592881,3,2.53412
"ta022",2155,5,35795,12498,2065,34722,11,3135546790,3,2.3465
"ta023",2386,5,37819,12334,2244,10941,3,3828905965,3,2.54038
"ta024",2259,5,41219,17199,2178,3636,1,482213054,3,2.46675
"ta025",2360,5,40473,11944,2248,32655,9,1624240284,3,2.55837
"ta026",2278,5,39002,12566,2167,38973,11,3707588512,3,2.46263
"ta027",2391,5,37571,12139,2224,8876,3,1378510882,3,2.512
"ta028",2286,5,40659,12667,2165,36657,10,345244713,3,2.46962
"ta029",2353,5,36830,12768,2209,15961,5,890565625,3,2.52513
"ta030",2248,5,39888,12782,2135,27436,8,2871037632,3,2.41725
"ta031",2729,4,43564,30217,2724,113,0,3902135386,3,2.4154
"ta032",2848,4,44841,25422,2834,21716,3,4038764510,3,2.6098
"ta033",2628,4,44622,22713,2613,298,0,297495829,3,2.398
"ta034",2767,4,47699,25227,2751,5,0,1559081186,3,2.5646
"ta035",2854,4,49667,32486,2853,46139,7,3536897153,3,2.5452
"ta036",2827,4,45993,23384,2825,776,0,4109256182,3,2.6008
"ta037",2747,4,49656,22166,2716,29844,4,1022521915,3,2.4648
"ta038",2691,4,46562,24296,2683,3,0,1916448542,3,2.4786
"ta039",2571,4,47896,23070,2545,4046,0,609087433,3,2.3244
"ta040",2776,4,42734,27747,2776,0,0,3912819866,3,2.5636
"ta041",3109,11,48277,17666,3010,4115,1,1050857975,3,2.51
"ta042",3012,12,44124,15533,2884,17955,6,1572852091,3,2.4236
"ta043",2961,12,44707,16875,2855,8317,2,3309705052,3,2.4007
"ta044",3169,12,43801,16936,3064,1861,0,226985329,3,2.5281
"ta045",3155,12,43107,13411,2993,26700,9,1667446941,3,2.5391
"ta046",3166,12,45903,16807,3006,3335,1,1287366569,3,2.509
"ta047",3222,12,44802,18920,3110,22999,7,3868730494,3,2.5184
"ta048",3147,12,43580,14553,3032,14142,4,641872725,3,2.4535
"ta049",3043,12,44323,15704,2911,43132,14,4115941506,3,2.4332
"ta050",3204,12,47404,16743,3084,33305,10,167452509,3,2.5446
"ta051",4068,39,41768,11384,3829,30541,22,4013300956,3,2.59555
"ta052",3928,37,39895,14680,3724,34047,25,3208386277,3,2.46355
