"name","initial_solution_value","initial_solution_time_ms","num_iterations","num_iterations_acceptance","best_value","steps_to_best","time_to_best_s","seed","num_jobs_destroy_repair","temperature"
"ta001",1290,1,208711,158905,1278,2031,0,2844902066,3,2.5765
"ta002",1366,1,208108,150401,1358,3161,0,4134379514,3,2.598
"ta003",1098,1,220653,92340,1073,60612,4,1510474646,3,2.3025
"ta004",1311,1,245687,112836,1293,526,0,3444355054,3,2.818
"ta005",1261,1,229885,151532,1235,2446,0,3616684960,3,2.484
"ta006",1228,1,231681,96949,1193,19378,1,207504944,3,2.5275
"ta007",1273,1,223811,129835,1239,5270,0,700440081,3,2.474
"ta008",1211,1,101608,49223,1199,1894,0,2454198566,3,2.6155
"ta009",1273,1,234714,96925,1210,7723,0,4288522954,3,2.621
"ta010",1151,1,241503,114031,1103,96,0,2844848931,3,2.3885
"ta011",1622,2,430021,164562,1559,51892,7,297351331,3,2.58225
"ta012",1721,2,432529,167134,1644,46983,6,208543562,3,2.7145
"ta013",1558,2,466244,150914,1468,117753,15,2911045908,3,2.469
"ta014",1386,2,430275,172857,1365,84066,11,1021002497,3,2.2325
"ta015",1497,2,444635,163964,1395,20783,2,2266559079,3,2.36475
"ta016",1444,2,484089,157975,1369,2881,0,939564137,3,2.285
"ta017",1506,2,438860,171693,1427,1031,0,2629794275,3,2.34425
"ta018",1593,2,453132,168627,1527,24031,3,315656129,3,2.4755
"ta019",1621,2,379027,183646,1586,17980,2,3029762932,3,2.5085
"ta020",1648,2,450237,139238,1559,4152,0,3534821759,3,2.632
"ta021",2352,5,855341,310318,2240,643135,178,1790291691,3,2.53412
"ta022",2155,5,710360,265994,2053,521075,174,3877665323,3,2.3465
"ta023",2386,5,757734,282200,2243,332086,103,3917392995,3,2.54038
"ta024",2259,5,826244,373068,2175,53962,15,3169003592,3,2.46675
"ta025",2360,5,856020,267088,2245,120986,33,700856444,3,2.55837
"ta026",2278,5,817444,334443,2162,41895,13,1741766620,3,2.46263
"ta027",2391,5,720975,225941,2220,413733,136,848625305,3,2.512
"ta028",2286,5,752388,286029,2153,184613,59,2561822449,3,2.46962
"ta029",2353,5,734211,226717,2187,413520,135,3590517465,3,2.52513
"ta030",2248,5,782885,236471,2122,2031,0,4083242104,3,2.41725
"ta031",2729,4,215573,148971,2724,110,0,3878445936,3,2.4154
"ta032",2848,4,219760,122907,2834,103518,18,1267648778,3,2.6098
"ta033",2628,4,225936,112824,2612,5472,0,3671501657,3,2.398
"ta034",2767,4,206388,108337,2751,178,0,4044400033,3,2.5646
"ta035",2854,4,203377,132371,2854,0,0,1983103112,3,2.5452
"ta036",2827,4,242373,122767,2825,10,0,1925677334,3,2.6008
"ta037",2747,4,208280,93758,2716,8689,1,2942868389,3,2.4648
"ta038",2691,4,236733,120978,2683,1,0,2567503397,3,2.4786
"ta039",2571,4,219509,105570,2545,81511,15,3145851980,3,2.3244
"ta040",2776,4,224251,145248,2776,0,0,1231297634,3,2.5636
"ta041",3109,11,426093,154936,3010,584,0,1816290896,3,2.51
"ta042",3012,12,475816,161595,2872,95544,30,3571410741,3,2.4236
"ta043",2961,11,429833,162188,2854,143394,50,2784310285,3,2.4007
"ta044",3169,12,466208,174097,3061,12999,4,1396191959,3,2.5281
"ta045",3155,12,422156,134570,2990,363854,130,3935791669,3,2.5391
"ta046",3166,12,421529,135055,2991,81783,29,2578907041,3,2.509
"ta047",3222,13,424253,167330,3095,205604,73,273087096,3,2.5184
"ta048",3147,12,425517,142501,3022,72643,26,2282010971,3,2.4535
"ta049",3043,12,443092,148474,2882,30029,10,3467234637,3,2.4332
"ta050",3204,12,433495,151220,3078,97881,34,2199159356,3,2.5446
"ta051",4068,40,904045,270881,3826,650040,433,75183794,3,2.59555
"ta052",3928,41,811588,299752,3660,228396,169,3335835944,3,2.46355
