"name","seed","value"
"ta001",2228023467,1278
"ta002",827731612,1359
"ta003",3910768787,1081
"ta004",3976480233,1293
"ta005",4239209129,1235
"ta006",4108276767,1195
"ta007",2160977634,1234
"ta008",2287715299,1206
"ta009",4186241148,1230
"ta010",4052792616,1108
"ta011",3892243612,1583
"ta012",3163720228,1659
"ta013",1010797563,1496
"ta014",1471726474,1378
"ta015",655931089,1419
"ta016",3969034664,1397
"ta017",817766189,1484
"ta018",1932303438,1544
"ta019",1166428836,1593
"ta020",107233480,1591
"ta021",1045864516,2297
"ta022",4037259330,2099
"ta023",352494117,2328
"ta024",2204890888,2223
"ta025",2472115012,2294
"ta026",737454460,2228
"ta027",2203446833,2273
"ta028",4103805039,2200
"ta029",2533792972,2237
"ta030",1911156715,2178
"ta031",2494378435,2724
"ta032",2432509981,2834
"ta033",3812949229,2621
"ta034",4275744980,2751
"ta035",2403329573,2864
"ta036",3783768751,2829
"ta037",1147207600,2725
"ta038",114286170,2683
"ta039",605155176,2554
"ta040",1740781393,2782
"ta041",1376950973,3025
"ta042",3984759224,2887
"ta043",2894495631,2869
"ta044",1755303088,3063
"ta045",2375823868,3005
"ta046",1793931343,3007
"ta047",400487416,3114
"ta048",3763489315,3042
"ta049",3719282192,2903
"ta050",3639346710,3093
"ta051",2167399905,3893
"ta052",3435672784,3720
"ta053",3091234879,3670
"ta054",2545939026,3757
"ta055",2803668485,3655
"ta056",2421786641,3702
"ta057",4012268154,3759
"ta058",3484238411,3740
"ta059",2524823773,3782
"ta060",417887256,3788
"ta061",2423502277,5493
"ta062",2871390726,5268
"ta063",1587121365,5175
"ta064",1170014179,5018
"ta065",2751832431,5250
"ta066",1530601782,5135
"ta067",2360929373,5246
"ta068",967800659,5094
"ta069",3102642589,5448
"ta070",1543261564,5322
"ta071",1629865264,5770
"ta072",1708934148,5362
"ta073",1617579634,5679
"ta074",1404030722,5792
"ta075",224316850,5491
"ta076",2032280730,5308
"ta077",208301366,5599
"ta078",3993292665,5637
"ta079",2587613755,5875
"ta080",1386054554,5848
"ta081",1984671697,6327
"ta082",406571641,6279
"ta083",861964270,6360
"ta084",1706460393,6346
"ta085",4024756878,6398
"ta086",2617072617,6477
"ta087",3421671364,6360
"ta088",46691290,6488
"ta089",701511794,6349
"ta090",2838235888,6486
"ta091",661324293,10872
"ta092",3977801085,10494
"ta093",1613324903,10922
"ta094",3521147890,10889
"ta095",1085846412,10537
"ta096",1845484234,10331
"ta097",3959053053,10861
"ta098",3802135068,10734
"ta099",1365383725,10438
"ta100",1995703937,10676
"ta101",68518870,11377
"ta102",4068373198,11353
"ta103",2749392348,11442
"ta104",3388546102,11354
"ta105",2694388047,11333
"ta106",2606273499,11331
"ta107",2396418482,11459
"ta108",1160213700,11445
"ta109",1674055042,11368
"ta110",2073672658,11425
"ta111",103012989,26182
"ta112",2145004662,26716
"ta113",3992264879,26499
"ta114",4182952039,26559
"ta115",3291671168,26426
"ta116",2794565019,26570
"ta117",3576587779,26462
"ta118",1267410668,26624
"ta119",1452928807,26129
"ta120",1389321945,26574
"ta001",2517116750,1278
"ta002",705093539,1359
"ta003",244995642,1081
"ta004",2277037252,1293
"ta005",3347171148,1235
"ta006",317749838,1195
"ta007",3634971765,1239
"ta008",1683685861,1206
"ta009",614644814,1230
"ta010",3146109110,1108
"ta011",3887305934,1582
"ta012",1520813935,1659
"ta013",3922400852,1496
"ta014",609246337,1378
"ta015",125366699,1419
"ta016",1426530637,1397
"ta017",2610973588,1484
"ta018",3893510826,1538
"ta019",1244085843,1593
"ta020",1681151785,1591
"ta021",1386419954,2297
"ta022",1594384349,2099
"ta023",1887867895,2331
"ta024",4051227062,2223
"ta025",3493151469,2294
"ta026",2791206258,2226
"ta027",4150350087,2273
"ta028",2177839079,2206
"ta029",1866479704,2237
"ta030",2289294164,2178
"ta031",1362714910,2724
"ta032",1017714280,2834
"ta033",448992838,2621
"ta034",306320969,2751
"ta035",2839391109,2863
"ta036",3928468617,2829
"ta037",3783738597,2725
"ta038",894920409,2683
"ta039",1523923463,2554
"ta040",3543625402,2782
"ta041",469512666,3035
"ta042",3667724597,2887
"ta043",3595607781,2871
"ta044",2386857350,3064
"ta045",3129321796,3005
"ta046",19631890,3006
"ta047",1150893938,3120
"ta048",3335700631,3038
"ta049",1899128388,2902
"ta050",3141180854,3091
"ta051",1937293578,3894
"ta052",2983486467,3741
"ta053",2048057481,3675
"ta054",2675355115,3755
"ta055",1882854490,3666
"ta056",2829788371,3724
"ta057",2915544868,3751
"ta058",3867871693,3734
"ta059",2769375526,3784
"ta060",1467270534,3792
"ta061",3097273862,5493
"ta062",3458297152,5268
"ta063",1991918506,5175
"ta064",3008918829,5018
"ta065",3180055649,5250
"ta066",3236858396,5135
"ta067",4038535748,5246
"ta068",2344059535,5094
"ta069",2610782965,5448
"ta070",3883143467,5322
"ta071",3418912464,5770
"ta072",2923480876,5362
"ta073",3724696313,5679
"ta074",2162840745,5791
"ta075",2304118313,5498
"ta076",472732313,5308
"ta077",324700849,5599
"ta078",1422917903,5640
"ta079",1292435598,5878
"ta080",1960856036,5848
"ta081",1330333484,6314
"ta082",2015116017,6264
"ta083",790267188,6324
"ta084",161039081,6323
"ta085",2765732978,6378
"ta086",3870630467,6487
"ta087",1816839108,6351
"ta088",4170121935,6487
"ta089",167583064,6363
"ta090",210406907,6483
"ta091",3226917996,10872
"ta092",4213253671,10502
"ta093",3025403121,10923
"ta094",4284839237,10889
"ta095",2498704270,10527
"ta096",3512880721,10331
"ta097",310849118,10860
"ta098",2414699836,10734
"ta099",1424732644,10438
"ta100",2476693326,10685
"ta101",674541428,11334
"ta102",678408127,11362
"ta103",2696711007,11432
"ta104",1407372793,11415
"ta105",3970438617,11351
"ta106",700256908,11340
"ta107",852096955,11449
"ta108",2935734224,11484
"ta109",3257605118,11333
"ta110",2270281900,11458
"ta111",1846480434,26161
"ta112",2978524241,26748
"ta113",2060222144,26512
"ta114",3094425456,26559
"ta115",3596178377,26417
"ta116",3326097007,26563
"ta117",3975468983,26461
"ta118",920286611,26751
"ta119",200565216,26141
"ta120",1509772986,26583
"ta001",528785837,1278
"ta002",1674692997,1359
"ta003",1076887831,1081
"ta004",99620923,1293
"ta005",2199095956,1235
"ta006",1083515999,1195
"ta007",2239844299,1239
"ta008",80078226,1206
"ta009",3594087564,1230
"ta010",1172596744,1108
"ta011",1100381338,1585
"ta012",741700317,1660
"ta013",2519478596,1496
"ta014",2146396295,1378
"ta015",2845124752,1419
"ta016",420507573,1397
