"name","solution_value","buffer_size"
"ta001",1278,2
"ta002",1358,3
"ta003",1073,2
"ta004",1293,2
"ta005",1231,2
"ta006",1193,2
"ta007",1239,3
"ta008",1199,2
"ta009",1210,2
"ta010",1103,3
"ta011",1560,2
"ta012",1645,2
"ta013",1475,2
"ta014",1368,3
"ta015",1395,3
"ta016",1369,2
"ta017",1432,2
"ta018",1527,2
"ta019",1586,3
"ta020",1566,2
"ta021",2247,2
"ta022",2059,3
"ta023",2236,2
"ta024",2184,2
"ta025",2247,2
"ta026",2168,2
"ta027",2228,3
"ta028",2175,2
"ta029",2184,2
"ta030",2122,2
"ta031",2724,5
"ta032",2834,4
"ta033",2612,6
"ta034",2751,6
"ta035",2853,5
"ta036",2825,6
"ta037",2716,4
"ta038",2683,6
"ta039",2545,5
"ta040",2776,10
"ta041",3010,4
"ta042",2872,4
"ta043",2855,4
"ta044",3061,4
"ta045",2998,3
"ta046",3018,4
"ta047",3127,4
"ta048",3042,4
"ta049",2887,4
"ta050",3078,4
"ta051",3853,3
"ta052",3697,5
"ta053",3663,5
"ta054",3728,5
"ta055",3608,4
"ta056",3739,4
"ta057",3738,3
"ta058",3685,5
"ta059",3765,4
"ta060",3765,3
"ta061",5493,8
"ta062",5257,6
"ta063",5175,9
"ta064",4996,5
"ta065",5247,6
"ta066",5135,6
"ta067",5232,9
"ta068",5083,10
"ta069",5448,9
"ta070",5318,6
"ta071",5783,6
"ta072",5361,8
"ta073",5681,5
"ta074",5785,6
"ta075",5489,7
"ta076",5295,7
"ta077",5623,8
"ta078",5628,5
"ta079",5896,4
"ta080",5848,5
"ta081",6316,5
"ta082",6205,6
"ta083",6319,5
"ta084",6306,14
"ta085",6384,5
"ta086",6437,5
"ta087",6323,6
"ta088",6465,4
"ta089",6350,4
"ta090",6458,6
"ta091",10857,10
"ta092",10538,8
"ta093",10926,8
"ta094",10877,11
"ta095",10499,9
"ta096",10345,10
"ta097",10880,10
"ta098",10764,11
"ta099",10419,11
"ta100",10685,9
"ta101",11323,6
"ta102",11355,7
"ta103",11470,8
"ta104",11414,11
"ta105",11380,8
"ta106",11304,9
"ta107",11462,8
"ta108",11453,7
"ta109",11363,7
"ta110",11464,10
"ta111",26279,13
"ta112",26768,13
"ta113",26583,16
"ta114",26649,17
"ta115",26476,15
"ta116",26578,12
"ta117",26535,16
"ta118",26786,14
"ta119",26134,15
"ta120",26615,14
"ta001",1278,2
"ta002",1358,3
"ta003",1073,2
"ta004",1293,3
"ta005",1235,2
"ta006",1193,2
"ta007",1245,3
"ta008",1199,2
"ta009",1210,3
"ta010",1103,3
"ta011",1560,2
"ta012",1645,2
"ta013",1476,2
"ta014",1368,3
"ta015",1395,3
"ta016",1369,2
"ta017",1432,2
"ta018",1527,3
"ta019",1586,3
"ta020",1559,2
"ta021",2249,2
"ta022",2063,2
