"name","solution_value","buffer_size"
"ta001",1278,2
"ta001",1278,2
"ta002",1359,4
"ta002",1359,3
"ta003",1081,2
"ta003",1081,3
"ta004",1293,2
"ta004",1293,2
"ta005",1235,2
"ta005",1235,2
"ta006",1195,2
"ta006",1195,2
"ta007",1234,3
"ta007",1239,3
"ta008",1206,2
"ta008",1206,2
"ta009",1230,3
"ta009",1230,3
"ta010",1108,2
"ta010",1108,3
"ta011",1582,2
"ta011",1582,2
"ta012",1659,2
"ta012",1659,2
"ta013",1496,2
"ta013",1496,2
"ta014",1377,2
"ta014",1377,3
"ta015",1419,2
"ta015",1419,3
"ta016",1397,4
"ta016",1397,3
"ta017",1484,2
"ta017",1484,2
"ta018",1538,3
"ta018",1538,3
"ta019",1593,3
"ta019",1593,3
"ta020",1591,2
"ta020",1591,2
"ta021",2297,2
"ta021",2297,2
"ta022",2101,3
"ta022",2099,4
"ta023",2326,3
"ta023",2326,3
"ta024",2223,2
"ta024",2223,2
"ta025",2291,2
"ta025",2291,2
"ta026",2226,2
"ta026",2226,2
"ta027",2273,2
"ta027",2273,2
"ta028",2200,3
"ta028",2200,3
"ta029",2237,2
"ta029",2237,2
"ta030",2178,2
"ta030",2179,2
"ta031",2724,6
"ta031",2724,7
"ta032",2834,7
"ta032",2834,6
"ta033",2621,8
"ta033",2621,7
"ta034",2751,6
"ta034",2751,8
"ta035",2863,7
"ta035",2863,6
"ta036",2829,8
"ta036",2829,6
"ta037",2725,4
"ta037",2725,4
"ta038",2683,7
"ta038",2683,5
"ta039",2552,6
"ta039",2552,7
"ta040",2782,9
"ta040",2782,9
"ta041",3025,3
"ta041",3025,3
"ta042",2888,4
"ta042",2890,4
"ta043",2869,4
"ta043",2861,4
"ta044",3063,4
"ta044",3063,4
"ta045",2986,4
"ta045",2984,3
"ta046",3006,6
"ta046",3006,5
"ta047",3115,4
"ta047",3112,5
"ta048",3040,4
"ta048",3039,4
"ta049",2902,5
"ta049",2902,4
"ta050",3091,3
"ta050",3091,4
"ta051",3893,3
"ta051",3893,3
"ta052",3717,4
"ta052",3715,4
"ta053",3658,4
"ta053",3667,4
"ta054",3745,3
"ta054",3737,3
"ta055",3629,4
"ta055",3627,4
"ta056",3692,4
"ta056",3715,4
"ta057",3726,3
"ta057",3722,3
"ta058",3706,4
"ta058",3723,4
"ta059",3765,4
"ta059",3768,4
"ta060",3772,4
"ta060",3777,4
"ta061",5493,10
"ta061",5493,9
"ta062",5268,12
"ta062",5268,10
"ta063",5175,12
"ta063",5175,14
"ta064",5014,12
"ta064",5014,11
"ta065",5250,10
"ta065",5250,13
"ta066",5135,13
"ta066",5135,10
"ta067",5246,11
"ta067",5246,8
"ta068",5094,11
"ta068",5094,10
"ta069",5448,13
"ta069",5448,12
"ta070",5322,14
"ta070",5322,11
"ta071",5773,6
"ta071",5771,6
"ta072",5349,8
"ta072",5349,9
"ta073",5679,6
"ta073",5679,8
"ta074",5800,7
"ta074",5819,7
"ta075",5467,9
"ta075",5467,7
"ta076",5308,8
"ta076",5306,8
"ta077",5599,8
"ta077",5599,10
"ta078",5630,6
"ta078",5633,4
"ta079",5877,7
"ta079",5875,6
"ta080",5848,6
"ta080",5845,6
"ta081",6270,5
"ta081",6268,4
"ta082",6239,8
"ta082",6245,8
"ta083",6322,6
"ta083",6327,6
"ta084",6303,16
"ta084",6366,14
"ta085",6367,4
"ta085",6398,4
"ta086",6437,5
"ta086",6445,5
"ta087",6308,5
"ta087",6326,4
"ta088",6466,5
"ta088",6460,5
"ta089",6330,7
"ta089",6330,8
"ta090",6483,6
"ta090",6483,6
"ta091",10872,10
"ta091",10872,12
"ta092",10497,10
"ta092",10497,10
"ta093",10923,9
"ta093",10922,16
"ta094",10893,14
"ta094",10889,11
"ta095",10537,12
"ta095",10537,16
"ta096",10331,13
"ta096",10331,11
"ta097",10857,11
"ta097",10857,11
"ta098",10734,17
"ta098",10734,12
"ta099",10438,11
"ta099",10438,12
"ta100",10685,11
"ta100",10685,12
"ta101",11302,7
"ta101",11297,7
"ta102",11329,8
"ta102",11330,8
"ta103",11415,9
"ta103",11432,11
"ta104",11384,12
"ta104",11372,12
"ta105",11325,13
"ta105",11338,7
"ta106",11325,8
"ta106",11321,9
"ta107",11452,8
"ta107",11457,7
"ta108",11423,8
"ta108",11423,8
"ta109",11350,10
"ta109",11306,9
"ta110",11383,8
"ta110",11371,8
"ta111",26184,17
"ta111",26196,23
"ta112",26680,22
"ta112",26692,18
"ta113",26483,17
"ta113",26476,17
"ta114",26549,15
"ta114",26545,12
"ta115",26430,16
"ta115",26426,14
"ta116",26565,14
"ta116",26563,17
"ta117",26461,17
"ta117",26461,15
"ta118",26720,12
"ta118",26643,17
"ta119",26129,14
"ta119",26112,22
"ta120",26539,14
"ta120",26552,18
"ta001",1278,2
"ta001",1278,2
"ta002",1359,4
"ta002",1359,3
"ta003",1081,2
"ta003",1081,2
"ta004",1293,2
"ta004",1293,2
"ta005",1235,2
